read_id,quality,length,has_adapter,quality_pass,length_pass,final_output_count
@250F302971012_1_159_7_357765_248806_1_15.899449,15.899449,18064,false,true,true,1
@250F302971012_1_45_5_471653_142814_2_17.207476,17.207476,10919,false,true,true,1
@250F302971012_1_102_12_485123_135249_3_17.429964,17.429964,10133,false,true,true,1
@250F302971012_1_113_8_401369_222593_1_16.747498,16.747498,17014,false,true,true,1
@250F302971012_1_133_8_355064_275000_1_18.354191,18.354191,20477,false,true,true,1
@250F302971012_1_50_12_448330_199215_2_17.515032,17.515032,13266,false,true,true,1
@250F302971012_1_70_5_389515_256679_1_18.558161,18.558161,18446,false,true,true,1
@250F302971012_1_63_11_462264_194000_1_16.879612,16.879612,15705,false,true,true,1
@250F302971012_1_171_13_470414_187305_1_16.684181,16.684181,15614,false,true,true,1
@250F302971012_1_243_5_534190_124684_1_15.569057,15.569057,10526,false,true,true,1
@250F302971012_1_198_11_547205_131615_2_19.572746,19.572746,10167,false,true,true,1
@250F302971012_1_204_10_492281_185205_2_18.164268,18.164268,15315,false,true,true,1
@250F302971012_1_214_6_407675_266000_1_21.092108,21.092108,16817,false,true,true,1
@250F302971012_1_152_10_533515_158000_1_18.762978,18.762978,11978,false,true,true,1
@250F302971012_1_188_8_421664_269880_2_15.454416,15.454416,16919,false,true,true,1
@250F302971012_1_46_13_569460_127106_2_12.556198,12.556198,10231,false,false,true,0
@250F302971012_1_12_14_580821_121680_1_9.441940,9.44194,11099,false,false,true,0
@250F302971012_1_222_13_545280_155181_1_18.020226,18.020226,11895,false,true,true,1
@250F302971012_1_247_15_484897_222104_1_18.574314,18.574314,14482,false,true,true,1
@250F302971012_1_92_11_514205_198654_3_12.968494,12.968494,14128,false,false,true,0
@250F302971012_1_209_10_473941_236309_2_18.946396,18.946396,20173,false,true,true,1
@250F302971012_1_161_18_591397_124914_2_16.129555,16.129555,10157,false,true,true,1
@250F302971012_1_172_8_220920_498681_1_20.662048,20.662048,32760,false,true,true,1
